video_id,labels
AMVSKXMC,"['80', '102']"
AMXONLSK,"['68', '139']"
AMZVUZQJ,['102']
ANFWNXGD,"['78', '102']"
ANHJHPTK,"['68', '15', '22', '2']"
ANKBGFGA,['67']
ANKVSVEI,['52']
ANMDZGCS,"['1', '3', '96', '97']"
ANNANSBA,"['26', '38', '1', '135', '67', '102']"
ANNCOPZC,"['16', '68']"
ANNGSPTK,"['68', '15', '2']"
ANNRUXDB,['52']
ANPGTVDY,"['15', '102']"
ANRJZHGW,['47']
ANSVOMLY,['123']
ANWTRNPL,['123']
AOBLPLWC,['102']
AOCPAMRN,['68']
AODMFRJS,['68']
AOOLKNQN,"['15', '102']"
AOOOAWBO,"['52', '133', '40', '67', '2', '27', '102']"
AORAGPTK,"['15', '68']"
AOUTADCD,"['11', '76']"
AOVXGDAL,"['1', '103']"
AOYBRHDU,['52']
APBEVUDI,['15']
APCVFFGA,['102']
APDFWVEI,['68']
APINQPKK,"['38', '133', '90', '46', '68', '67', '84', '102']"
APXHTNPL,['52']
APYFBKPH,"['102', '2', '128']"
AQABTTFT,"['26', '47', '38', '96', '27']"
AQBFYLHH,['67']
AQDLLLHH,['47']
AQFMKMRN,"['133', '102', '68']"
AQGAZIQR,"['102', '97', '1', '8', '39', '120']"
AQHSTVEI,"['49', '48', '32']"
AQJKTLHH,['68']
AQSAYPTK,"['15', '22', '68', '2', '102']"
AQSUIZYO,"['102', '45']"
AQVOKHVR,"['7', '40']"
AQVQDVCV,"['133', '123']"
ARAOCPTK,"['68', '15', '22', '2']"
ARBTVHAQ,"['78', '102']"
ARLMJCJH,"['45', '68']"
ARMPWZXQ,"['15', '102']"
ARMUITFT,"['26', '47', '38', '96', '27']"
ARNHOPTK,"['68', '15', '2']"
ARQMXPTK,"['15', '68']"
ASCJGAMC,"['40', '95', '102']"
ASJAKLHH,['68']
ASNGHBQT,"['59', '65']"
ASPHCFNJ,['123']
ASPPSPTK,"['15', '102', '104']"
ASWVZKRV,"['15', '2', '49']"
ASYDRFGA,['2']
ATGKAZIE,"['102', '52']"
ATPKEHCU,['38']
ATPQSVEI,"['90', '32']"
ATRQHPAB,"['8', '5']"
ATUWVRJS,['40']
ATVJUPTK,"['68', '15', '102', '2']"
AUBHZLWC,"['40', '78']"
AUCUIYCR,['52']
AUDIONPL,"['133', '27']"
AUIKHGCS,"['1', '102']"
AUMWREUL,"['112', '102']"
AUPSLDFS,['102']
AUPWNPLS,"['40', '90', '68', '8']"
AUYFXPTK,"['15', '22', '68', '2', '102']"
AVAYVPTK,"['68', '15', '22', '2']"
AVCKKSBA,"['68', '100', '40', '2']"
AVFJUXDO,"['51', '102']"
AVJQNHAQ,"['13', '102']"
AVSPTSBA,"['133', '100', '68', '40', '2']"
AVYOHHGW,"['40', '102']"
AWBEUVEI,['102']
AWKDSVEI,"['68', '2', '104']"
AWKUUDFS,['78']
AWNYRPZC,"['78', '102', '48']"
AWPSYOXJ,['133']
AWQLXIJJ,['78']
AWRPDVJP,['78']
AWSRMAEM,['40']
AWSRQZXQ,"['15', '102']"
AXBUXIQR,"['102', '97', '133', '8', '39']"
AXENUHCU,"['15', '102']"
AXINMNMW,"['78', '123']"
AXOLMDAL,"['40', '104', '5', '13', '123']"
AXSLLFGA,['133']
AXTIQNPL,"['40', '15', '102', '68']"
AXUREPTK,"['15', '102']"
AXXFPPLS,"['133', '102', '68']"
AYFKZOYV,"['78', '23']"
AYHFDVEI,"['133', '22', '68', '40', '2', '33']"
AYHFHVEI,"['15', '133', '49', '40', '102']"
AYKQLLHH,['123']
AYQGAPTK,['68']
AYRRXBGG,"['90', '103']"
AYVTBNPL,"['40', '15', '105']"
AYZYNHVR,"['52', '68']"
AZAGAUXS,['102']
AZIPFUDI,"['15', '2']"
AZIPZPAF,"['15', '102']"
AZLUOAMC,"['133', '100']"
AZLXPBLQ,['47']
AZNVXVEI,['68']
AZRKHMHZ,['18']
AZVZQCIW,['102']
AZWSRUXS,"['102', '68']"
BAEOZNPO,['133']
BAGBNFGA,"['121', '123']"
BALUSPTK,"['15', '102', '68']"
BANNKVEI,"['48', '32', '133', '90', '49', '40']"
BAOFTZIE,['40']
BAQXAGCS,"['3', '97', '1', '96', '68', '118', '102']"
BARVXBXG,"['32', '104']"
BAUARVEI,"['133', '102', '68']"
BAVSPOXJ,['92']
BAYRBFYY,"['40', '123']"
BAZYYKEW,['116']
BBDVBUDI,"['68', '15', '2', '103']"
BBECHBQT,['100']
BBETZLBD,"['40', '133']"
BBGCOHIS,['40']
BBQBQAMC,"['133', '139']"
BBWWNAMC,"['133', '100', '102', '68']"
BBYTFVEI,"['68', '102', '2']"
BCBUKAMC,"['106', '102', '133']"
BCGAQPTK,['15']
BCHSYPTK,"['15', '2']"
BCIGIPTK,['15']
BCUFHNQN,"['15', '68']"
BCZSOFNJ,['102']
BCZXXGJU,['78']
BDBYTOXJ,['68']
BDDACFKM,"['68', '100', '102', '2']"
BDIWJNJC,"['68', '104']"
BDMMHPTK,"['15', '2']"
BDMWHVEI,"['22', '102']"
BDPDAMRN,['102']
BDQLSHVR,['40']
BDTVCNMW,['78']
BDWQAKEW,['78']
BEALRDAL,"['13', '123', '5']"
BECLKQFB,['133']
BEDCODFS,"['102', '68']"
BEFOGZIE,"['90', '102', '68']"
BEGIANPL,"['133', '76', '118', '58', '102']"
BEHXMWTR,['102']
BEKUTPTK,"['68', '15', '102', '2']"
BERDYVEI,"['48', '32', '133', '90', '49', '40', '102']"
BERVJEWB,"['133', '102', '83']"
BEUJOVEI,"['40', '133']"
BEUWQMWW,['15']
BEZZAUXS,['62']
BFARPZIE,['40']
BFBBMEBY,['102']
BFDSJAMC,"['116', '8', '58', '2', '87', '102', '74']"
BFEDZAYR,"['2', '104']"
BFGKWBXG,"['32', '104']"
BFGQKGCS,['133']
BFHQUPTK,"['68', '15', '102', '2']"
BFRIZMRN,"['40', '133']"
BFRPKXEV,['123']
BFTVVXHP,['90']
BFWPRZQJ,['102']
BFXOJPTK,"['15', '52', '104']"
BGAPQHVR,"['7', '8']"
BGAVUIQR,"['39', '1', '102', '97']"
BGDDKPTK,"['15', '68']"
BGDNKMYV,['1']
BGIXJNPL,"['15', '102']"
BGJDKLHH,['68']
BGJFQIWV,"['133', '15', '102', '52']"
BGKLZXHP,"['69', '15', '52', '105', '40', '102']"
BGLXDCEI,"['7', '40', '78']"
BGMANRME,['68']
BGNBXHAQ,"['40', '102']"
BGRJQPTK,"['15', '90', '68', '2', '102']"
BGSRHXDO,"['51', '1']"
BGWSAELW,['78']
BGXJAFYY,['123']
BGZJDKEW,"['102', '68']"
BHAACICI,['68']
BHGGYPIF,['109']
BHGWHDAL,"['69', '123']"
BHHKTXHP,['128']
BHIUAFYY,['25']
BHOBIZLK,['133']
BHUFNHIS,['78']
BHUFOPTK,"['68', '15', '2']"
BHZGUMWW,['15']
BIBMMZIE,"['102', '52']"
BIFJGWPM,"['26', '27']"
BIFUQPLS,"['68', '133', '40', '2']"
BIKCMPKK,"['46', '68', '67', '84', '102']"
BIMXSQFB,['133']
BIOLNPTK,"['15', '2', '104']"
BIOQWGDO,['78']
BIVEQXDO,"['29', '1', '91']"
BJABFKRF,['78']
BJAILHIS,"['40', '78', '45']"
BJGBPDWZ,['123']
BJKBAVEI,['2']
BJLMISBA,"['118', '102', '52']"
BJLZBVEI,"['133', '90', '49', '103', '40', '2', '104']"
BJNUSVEI,"['102', '104']"
BJPPTMRN,"['40', '2']"
BJZDORDX,"['67', '52', '2']"
BJZHDVOG,['78']
BKBVZLHH,"['78', '65']"
BKECGPKK,"['102', '46']"
BKEENPAB,"['8', '5']"
BKLHIEUL,['68']
BKMPVPTK,['68']
BKOJEVEI,"['40', '102', '2', '104']"
BKOJSTKX,"['40', '102', '48']"
BKPXKIFB,['68']
BKQRMHDU,['40']
BKREQDFS,['78']
BKRNVZIE,['40']
BKTQQCJH,['78']
BKUHNUDI,['103']
BKUSXKRF,['102']
BKZCZLWC,"['40', '102']"
BLAZZNQN,['15']
BLFGBBQT,['47']
BLHEHRJS,['68']
BLHPKLHH,['67']
BLIXOLHH,['68']
BLLUKUXS,['68']
BLMFGFGA,"['133', '45', '128']"
BLQFMIFB,['68']
BLRTDGJU,['40']
BLRUQXDO,"['133', '102']"
BLRVTVEI,"['38', '68']"
BLSZHMYV,"['78', '68']"
BLTQLKBT,['102']
BLWDFPTK,"['15', '102', '68']"
BLYTBHVR,['68']
BMDXOPTK,"['68', '15', '2']"
BMERNUXS,['102']
BMLESPTK,"['22', '15', '2']"
BMQXVPTK,"['15', '102', '2']"
BMRDSVEI,['90']
BMXYNPTK,['2']
BMYOYJVR,['40']
BMYVVFFP,['123']
BMZDCHDU,"['13', '102']"
BNCMHIQR,"['102', '97', '133', '8', '39']"
BNJTYVEI,"['15', '128', '133', '90', '68', '135', '40', '2', '102']"
BNVHZFYS,"['40', '52', '68', '8']"
BNXLANBD,['58']
BNXNLVEI,"['68', '48', '2']"
BNZCTVEI,['102']
BNZGODFS,['78']
BOCAKSEK,['115']
BOGOHUDI,['68']
BOGVOFYY,['68']
BOIURPTK,"['68', '15', '2']"
BOKHSXHP,['102']
BOLJOHAQ,"['133', '78', '102']"
BOMUXRFV,['67']
BOQBDUFF,"['69', '47', '114']"
BOSWEIMN,['10']
BOTDTHVR,"['68', '78', '52', '2']"
BOTNVBGG,['102']
BPFKJMRN,['103']
BPMOPVEI,"['45', '40', '133']"
BPSSTPTK,['68']
BPSVPWPM,['45']
BQGGZNMW,['71']
BQGHIXTD,['78']
BQJEYNPL,['45']
BQOWTMRN,"['40', '90', '133', '32']"
BQPDIMLY,['123']
BQPLQVEI,"['133', '102', '2']"
BQSMTIFB,['68']
BQSUFLHH,['102']
BQTLWAEM,['40']
BRADPVEI,"['15', '68', '2', '104', '102']"
BRDPRVEI,"['68', '15', '2', '104']"
BRDWWNPL,"['40', '15', '102', '105']"
BRJDXUOO,"['15', '102']"
BRJIIUXS,['2']
BRTXPRHW,['78']
BRUTJPTK,"['68', '15', '2']"
BRUVSUDI,"['15', '68', '2', '104', '102']"
BRWJZVEI,"['100', '2', '104']"
BSIQIHCQ,"['48', '81', '103']"
BSIVMFKM,['133']
BSKIBUXS,['2']
BSLDNNPL,"['102', '52']"
BSOXVMYV,"['102', '68']"
BSUIGEQQ,"['102', '96', '104']"
BSVVKVEI,"['52', '32', '133', '90', '100', '68', '102']"
BSXKAKRF,['68']
BSYYTVEI,"['40', '2', '128']"
BTFWIHDU,"['13', '67']"
BTGYAVEI,"['133', '90', '102', '32']"
BTHXWUOO,"['15', '128']"
BTKMZPTK,"['15', '90', '68', '2', '104']"
BTNOTMRN,['48']
BTQWZUDI,"['15', '2']"
BTSSVHGW,['40']
BUABVKEW,"['116', '38']"
BUAVPCVX,['69']
BUGORUDI,"['68', '15', '2']"
BUGOWPLS,"['69', '52', '133', '90', '68', '2', '104', '102']"
BUGWQNPL,"['13', '123', '5']"
BUNIUZLK,"['133', '90', '68', '104', '102']"
BUPKQPLS,"['68', '2']"
BUPLFZIE,"['69', '48', '52', '40', '102']"
BURZHPKK,"['38', '133', '90', '68', '67']"
BUVUFXPO,"['7', '40']"
BUXMRCEI,['100']
BVGAAKDQ,"['69', '102', '52']"
BVHBMOYV,"['13', '78']"
BVJMBGFR,['68']
BVQHTOXJ,['78']
BVWLRKWA,['78']
BVXNBKEW,"['13', '100']"
BVYMFKEW,"['13', '100']"
BWBUENPL,['28']
BWCCDUXS,"['68', '2']"
BWDHICND,['137']
BWMXDWBO,['2']
BWPWMVRU,['58']
BWQJBIQR,"['102', '97', '133', '8', '39', '120']"
BWSOINPL,['121']
BWSZOIMN,['100']
BXANULHH,['78']
BXBIKPLS,"['123', '2']"
BXDRVEBY,['102']
BXKPLZYO,"['117', '45']"
BXMUPWBO,['133']
BXMXUTFT,"['26', '47', '38', '133', '90', '27', '102']"
BXVYILHH,['16']
BXYGLNQN,['15']
BXZAZWTR,['102']
BYAXZBQT,"['102', '58']"
BYFDLEZZ,['133']
BYGGWUBE,['47']
BYPLAVTT,['40']
BYQCVAHW,['102']
BYQFILHH,['100']
BYVUXZIE,"['40', '78']"
BZEMTNQN,['15']
BZIHQLHH,"['102', '2']"
BZRWKPTK,['15']
CAEAVFKM,"['102', '25']"
CAEVABGG,['2']
CAMSJVEI,"['90', '32', '104']"
CAOFKGCS,"['3', '97', '1', '68', '118', '104', '102']"
CAOOPFGA,['100']
CARLAVEI,['133']
CASUSTEK,"['12', '123']"
CAUHDPTK,['2']
CAUQNVEI,['90']
CAXDDVEI,['2']
CBCEWAEY,['48']
CBCRLZQJ,"['51', '1']"
CBJASZQJ,['123']
CBSKBFYY,['40']
CBSPMVDY,"['15', '102']"
CCANHPTK,['15']
CCATBJVY,"['69', '40', '102', '128']"
CCDVTPTK,"['15', '68']"
CCFBBEZZ,['133']
CCKTUMYV,"['102', '2']"
CCPMEKEW,['133']
CCPQVWBC,"['78', '102']"
CCQNQKEW,['67']
CCRDUWTR,['102']
CCRQMUDI,['2']
CCSAOKRV,"['133', '15', '102', '49']"
CCTMLRJS,['52']
CCWNRUPH,['115']
CDAQIAEM,['40']
CDEGJLHH,['67']
CDFINFGA,['102']
CDGLJFGA,['52']
CDKHNHCU,"['15', '102']"
CDPXJZGK,['78']
CDUOEEBY,['67']
CDYKNNQN,['15']
CEATVUXS,['68']
CEAZMRTZ,['78']
CECUMPLS,"['133', '102', '68']"
CEGXIFKM,"['133', '45']"
CEHIKNPL,"['133', '76', '45', '68']"
CELFAPLS,"['52', '133', '68', '40', '2', '102']"
CENPOQFB,['123']
CEQLBPLS,"['68', '133', '2']"
CERYLNQN,"['15', '68']"
CETKXMYV,"['102', '2']"
CEWZQIFB,['68']
CEXWYFYY,['78']
CEYEFFYS,['102']
CFBTLIFB,['68']
CFDSMVEI,"['40', '90', '133']"
CFECKBGU,['43']
CFEZRPTK,"['15', '102', '2']"
CFFDFVEI,['40']
CFFFYNPO,"['100', '1', '91', '96']"
CFGCPUDI,['15']
CFGWVPTK,['68']
CFJGHELW,['78']
CFLGTLHH,"['78', '65']"
CFMSCVEI,"['15', '128', '133', '90', '68', '135', '40', '2', '104', '102']"
CFMTRNXN,"['102', '123']"
CFMWRFNJ,['52']
CFUGEAMC,['133']
CFWCXVEI,"['15', '133', '90', '68', '135', '40', '2', '104', '102']"
CGAODZIE,"['69', '40']"
CGCNTNOT,['123']
CGDLISBA,"['90', '102']"
CGFFEUOO,"['67', '15', '102']"
CGHCOOTL,['15']
CGHSSPTK,"['68', '15', '102', '2']"
CGICTPLS,"['68', '133', '2', '104']"
CGLPYNPL,"['15', '102']"
CGMIMHAQ,"['116', '110', '102']"
CGTSTDWZ,['78']
CGUGQKDQ,"['69', '102', '52']"
CGVALGQD,"['58', '2']"
CGVAMNQN,"['15', '68']"
CGVISIFB,['78']
CGWNVLHH,['68']
CGZYLAMC,"['133', '68']"
CHCRFNQN,['102']
CHDWTZQJ,['68']
CHGQKVEI,"['15', '128', '133', '68', '40', '2', '104', '102']"
CHJADFYY,"['13', '78']"
CHLFYOIP,['40']
CHWMYVEI,"['40', '133', '49']"
CHXVMLHH,['68']
CHYMCFYY,"['13', '68']"
CICXBPTK,"['68', '15', '2']"
CIJECXDO,"['133', '100', '102', '97']"
CIJQYSBA,"['67', '1', '102']"
CIKIZUDI,"['68', '15', '2']"
CIYEIZIE,['40']
CIYHRUOY,"['123', '104']"
CIYPNRGE,['123']
CJAUDAEM,['13']
CJBFQDSN,['133']
CJEJXFGA,"['69', '52', '128', '133', '68', '102', '81']"
CJEPHPTK,"['15', '102', '68']"
CJHKZSOM,['52']
CJHTISBA,"['67', '38', '102', '135']"
CJLTBPKK,"['38', '68', '104']"
CJQZNVCR,"['133', '68']"
CJWBYZON,['102']
CJXLEMRN,"['48', '32', '133', '90', '40', '2', '104', '102']"
CJYIEHIS,"['40', '78']"
CKCHVHCU,"['15', '102', '128']"
CKFIBFYY,"['13', '2']"
CKGQXKBT,['40']
CKPFZFYS,['133']
CKSRWSBA,"['48', '135']"
CKURUVEI,"['40', '133']"
CKVUWLLG,['80']
CKZAHFNJ,"['52', '2']"
CKZIYMRN,['40']
CLCBHZIE,"['69', '102', '52']"
CLCTUEUL,"['112', '68']"
CLIFXPAF,['104']
CLIQCWBO,"['102', '68']"
CLJNAMWW,['15']
CLLCGNPL,"['15', '102', '49']"
CLLKEPKK,"['38', '133', '90', '46', '68', '67', '84', '102']"
CLMSWAEM,['40']
CLQAWBGG,"['90', '15', '2', '103']"
CLRZABXG,"['69', '40', '15', '102']"
CLSXBDAL,"['102', '48', '104']"
CLUCQFFP,"['121', '123', '104']"
CLYIYHVR,"['7', '8']"
CMBJNVEI,"['40', '100', '68']"
CMDYSAMC,"['133', '68', '74']"
CMEXXNPO,['68']
CMHPNRME,['68']
CMVDAAEM,['40']
CMVEQJNO,['2']
CMVHKAEM,['40']
CMVJZKPH,"['7', '40']"
CMYQHPKK,"['38', '133', '90', '46', '68', '67', '84', '102']"
CMZDKPTK,"['15', '102', '68']"
CNCEMAMC,"['133', '102', '68']"
CNKTPVEI,['2']
CNLYPKGZ,['37']
CNPMBNCR,['68']
CNXPMDFS,['68']
CNYCFXDO,['133']
COIXFRGE,['123']
COJJHVEI,"['68', '102', '52', '2']"
COKZNPLS,"['133', '102', '68']"
COMLYFNJ,['68']
COPQBBQT,['40']
COQOWXYT,['2']
COUHGDFS,['68']
COXGXJNO,['68']
CPAPGHIS,['78']
CPCKCDHC,"['78', '68']"
CPDMONQN,['102']
CPGHJPTK,"['68', '15', '102', '2']"
CPKEEHGW,"['40', '114']"
CPKUSHCU,"['15', '102', '104']"
CPRFAPTK,"['68', '15', '102', '2']"
CPUAEPTK,"['15', '2']"
CPUYAVEI,"['49', '48', '32']"
CPWYLLSK,"['75', '78', '68']"
CPXYOSBA,['102']
CPYZFDAL,"['69', '52', '32', '68', '40', '123']"
CQABIUOO,['102']
CQDSBBXG,['100']
CQDVVKRF,"['102', '68']"
CQIAFPTK,"['15', '2']"
CQIFURGE,['28']
CQVTMSBA,['68']
CQXTHXDB,['40']
CRCOCDSN,"['133', '102', '139']"
CRDTQOTL,"['114', '15']"
CREADAEM,['40']
CRGTYVEI,['104']
CRGZJOYV,['78']
CRKBRXYT,['116']
CRKRELHH,['68']
CROFKKDQ,"['133', '102', '68']"
CRPBMAMC,"['133', '108']"
CRRDIVEI,"['90', '102', '2']"
CRRHNXSF,"['40', '21']"
CRTUGPTK,"['68', '15', '102', '2']"
CRUBWMYV,['68']
CRVUPVCV,['133']
CRYJSKDQ,"['8', '102', '52']"
CRYWHAEM,['40']
CSADYUDI,"['15', '102', '68']"
CSBHJPLS,"['40', '102', '133', '68']"
CSDOSPTK,"['15', '102', '68']"
CSEJEZJZ,['15']
CSFCVPKK,"['46', '68', '67', '84', '102']"
CSFFOPIK,['123']
CSHALXDO,"['26', '1', '102']"
CSIJTPAB,"['8', '5']"
CSINZVEI,"['52', '32', '133', '90', '100', '68', '102']"
CSMXSPIF,['121']
CSNHOFGA,"['69', '133', '52']"
CSQQRFYY,['52']
CSRQNFFP,['123']
CSTXJTKX,"['40', '102', '48']"
CSUKCLHH,['25']
CSUVXBGG,"['90', '15']"
CSWHQAMC,"['106', '108', '133', '46', '65', '102']"
CSWVKVCR,['68']
CTDDKKPH,['102']
CTGBFNQN,['15']
CTHPVFGA,['100']
CTJRSLHH,['68']
CTNFPPTK,['15']
CTOBRPTK,"['15', '102', '68']"
CTOXNCIW,"['67', '78']"
CTPUBPTK,"['15', '22', '68', '2', '102']"
CTSQVIFB,"['7', '40']"
CTUPXAEM,['40']
CTVEKLBD,"['68', '2']"
CUFUVBXG,"['90', '68']"
CUGXFCJH,"['78', '102', '68']"
CUIWXHCU,"['15', '102']"
CULZBUPH,"['13', '133', '15', '105']"
CUPONNHV,['133']
CUQIJHGW,['133']
CUUQKLHH,['58']
CUVOGUXS,"['68', '102', '2']"
CUYROLHH,['68']
CVACKUXS,"['68', '2']"
CVAGHAMC,"['133', '100']"
CVBOAOYV,['78']
CVEGSWBO,['68']
CVELRVEI,"['48', '2']"
CVELUBQT,"['102', '123']"
CVFADGCS,"['3', '97', '68', '118', '102']"
CVFBIPTK,"['90', '15', '68']"
CVGMSXFE,"['121', '52']"
CVHUIAYR,['102']
CVIOJSEK,['38']
CVJXBVEI,['40']
CVKBWVEI,"['40', '102']"
CVMFSVEI,"['45', '40', '133']"
CVNUCVEI,"['40', '133', '2', '49']"
CVNVEMRN,"['40', '133']"
CVWDQPTK,"['68', '15', '102', '2']"
CVWRFKRV,"['102', '49']"
CVYRGELW,['67']
CWAUJPTK,['68']
CWDUPFGA,['100']
CWKHXFGA,['100']
CWKQPKEW,['46']
CWNVJPTK,"['15', '102']"
CWQQAKEW,['101']
CWQSBHVR,"['7', '8']"
CWUSGFGA,['67']
CWVLMVEI,"['40', '90', '103', '104']"
CWXLMXRE,"['68', '2']"
CXACZHVR,"['7', '40']"
CXDEWKWA,['78']
CXGLOZLK,"['69', '48', '133', '67', '102']"
CXOTOLHH,['78']
CXQTJHVR,"['68', '78', '58', '2']"
CXSJIXDO,"['133', '102']"
CXTDUKEW,"['133', '38', '68']"
CXUVIFGA,"['133', '52']"
CXYCYFFP,"['78', '25']"
CXZWLKEW,['44']
CXZXOMWW,['68']
CYALTVEI,['38']
CYJMQUXS,"['68', '102', '2']"
CYJNPMWW,"['15', '68']"
CYPTZPLS,"['133', '90', '102', '68']"
CYSGDKEW,"['133', '38', '68']"
CYTIJXYT,"['114', '99', '2']"
CYTMTFNJ,['46']
CYVPAZLK,"['67', '102']"
CYWSCKEW,['2']
CZDODLHH,"['92', '68']"
CZEEQTEK,"['12', '123']"
CZEPYKEW,['78']
CZFJPNQN,['15']
CZGHEEZZ,['68']
CZHNRVEI,['68']
CZKKVVEI,"['52', '32', '133', '90', '100', '68', '102']"
CZPAZPTK,"['15', '102']"
CZRZLWWK,['107']
CZUIVUPH,['103']
CZZQMPTK,['68']
DABMZLHH,"['133', '58']"
DADZSNPL,['102']
DASFFMRN,"['40', '133', '123']"
DATVAVDY,['15']
DAUMZIFB,"['78', '68']"
DAVVMKDQ,"['102', '52']"
DBGLQDFS,['68']
DBGXZPKK,"['38', '133', '46', '68', '67', '84', '102']"
DBHZKZQJ,['67']
DBJYTPTK,"['15', '102', '68']"
DBLDAPTK,"['15', '102', '68']"
DBMJTZQJ,['40']
DBRBARGE,"['78', '68']"
DBULZSBA,['102']
DBXKWVJP,"['78', '5']"
DCGXQBXG,"['32', '104']"
DCKNLPTK,"['68', '15', '2']"
DCLJRVEI,"['133', '2']"
DCNFBOTL,['68']
DCNUIMRN,['68']
DCUOGJNO,['68']
DCVGZXDO,"['26', '1']"
DCVVIPTK,"['15', '2']"
DCWZAWPM,['45']
DDBLPICC,['102']
DDCXUFNJ,['52']
DDEIKGCS,"['133', '102']"
DDFANPTK,"['68', '15', '102', '2']"
DDGDMFFP,['123']
DDIJQVEI,"['133', '49', '40', '2', '104']"
DDKMIEZZ,['133']
DDODPFGA,['102']
DDOWJZIE,"['69', '102', '52']"
DDQGJZLK,['52']
DDUVXIFB,['10']
DDWRGKEW,['38']
DEEYSSBA,"['40', '68']"
DEGAZIWV,"['116', '102', '48']"
DEHBJVEI,"['133', '22', '68', '40', '2']"
DEJCDSEK,"['133', '104']"
DEKLNKBT,['123']
DEMWBPAB,"['8', '5']"
DESKAVEI,"['128', '133', '68', '40', '2', '102']"
DEUYBSOM,['52']
DFAHROTL,['2']
DFCKJNQN,['15']
DFDDSTEK,"['38', '2']"
DFGMYPTK,"['15', '68', '104']"
